Class,Total Images,Correct Predictions,Accuracy,Precision,Recall,F1 Score,Needs Improvement,Recommendation
"Pepper,_bell___healthy",227,28,0.12334801762114538,0.5283018867924528,0.12334801762114538,0.2,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Tomato___Bacterial_spot,337,64,0.18991097922848665,0.42953020134228187,0.18991097922848665,0.26337448559670784,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Blueberry___healthy,217,42,0.1935483870967742,0.9545454545454546,0.1935483870967742,0.3218390804597701,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Potato___Early_blight,144,28,0.19444444444444445,0.7,0.19444444444444445,0.30434782608695654,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Tomato___Late_blight,278,67,0.24100719424460432,0.4240506329113924,0.24100719424460432,0.3073394495412844,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Tomato___healthy,228,59,0.25877192982456143,0.31891891891891894,0.25877192982456143,0.2857142857142857,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Grape___Black_rot,165,61,0.3696969696969697,0.6288659793814433,0.3696969696969697,0.46564885496183206,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Apple___healthy,231,95,0.41125541125541126,0.5080213903743316,0.41125541125541126,0.45454545454545453,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Grape___Esca_(Black_Measles),196,90,0.45918367346938777,0.8108108108108109,0.45918367346938777,0.5863192182410424,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Tomato___Spider_mites Two-spotted_spider_mite,246,135,0.5487804878048781,0.28969957081545067,0.5487804878048781,0.3792134831460674,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Peach___Bacterial_spot,358,219,0.611731843575419,0.40555555555555556,0.611731843575419,0.48775055679287305,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Corn___Common_rust,177,115,0.6497175141242938,0.7666666666666667,0.6497175141242938,0.7033639143730887,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Corn___Northern_Leaf_Blight,157,107,0.6815286624203821,0.4495798319327731,0.6815286624203821,0.5417721518987342,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),153,106,0.6928104575163399,0.8153846153846154,0.6928104575163399,0.7491166077738516,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Corn___healthy,181,139,0.7679558011049724,0.9391891891891891,0.7679558011049724,0.8449848024316109,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Strawberry___Leaf_scorch,152,128,0.8421052631578947,0.6881720430107527,0.8421052631578947,0.757396449704142,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Background_without_leaves,181,154,0.850828729281768,0.9506172839506173,0.850828729281768,0.8979591836734694,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Squash___Powdery_mildew,276,261,0.9456521739130435,0.6397058823529411,0.9456521739130435,0.7631578947368421,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Tomato___Tomato_Yellow_Leaf_Curl_Virus,774,733,0.9470284237726099,0.5385745775165319,0.9470284237726099,0.6866510538641686,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Orange___Haunglongbing_(Citrus_greening),872,858,0.9839449541284404,0.5535483870967742,0.9839449541284404,0.708505367464905,False,Good
Soybean___healthy,719,712,0.9902642559109874,0.3799359658484525,0.9902642559109874,0.5491708445815657,False,Good
